	0	1	2	3	4	5	6
127	128	DMT-dA(Bz)-CE phosphoramidite (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000120	1.0	2024-06-04	16:24:59	1848570232
128	129	DMT-dC(Ac)-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000121	1.0	2024-06-04	16:25:24	1848570232
129	130	DMT-dG(dmf)-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000122	1.0	2024-06-04	16:25:24	1848570232
130	131	DMT-dT-CE phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000123	1.0	2024-06-04	16:25:24	1848570232
131	132	DusQ 1 CPG 500	INIT_BASE_CODE_OLIGO_LAB_0000137	0.04	2024-06-04	16:29:31	1848570232
132	133	Универсальное CPG тип II, 500A	INIT_BASE_CODE_OLIGO_LAB_0000141	0.075	2024-06-04	16:29:31	1848570232
133	134	SIMA фосфорамидит, 6-изомер	INIT_BASE_CODE_OLIGO_LAB_0000142	0.1	2024-06-04	16:29:31	1848570232
134	135	Алкиновый амидит, 5'-терминальный	INIT_BASE_CODE_OLIGO_LAB_0000133	0.15	2024-06-05	16:28:10	1848570232
135	136	DusQ 2 CPG 500	INIT_BASE_CODE_OLIGO_LAB_0000135	0.01	2024-06-05	16:28:10	1848570232
136	137	DusQ 1 CPG 500	INIT_BASE_CODE_OLIGO_LAB_0000137	0.04	2024-06-05	16:28:10	1848570232
137	138	Универсальное CPG тип I, 500A	INIT_BASE_CODE_OLIGO_LAB_0000138	0.006	2024-06-05	16:28:10	1848570232
138	139	SIMA фосфорамидит, 6-изомер	INIT_BASE_CODE_OLIGO_LAB_0000142	0.15	2024-06-05	16:28:10	1848570232
139	140	HEX Dye Amidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000128	0.15	2024-06-05	16:41:10	1848570232
140	141	5’-Fluorescein Phosphoramidite  (Hongene)	INIT_BASE_CODE_OLIGO_LAB_0000129	0.15	2024-06-05	16:41:10	1848570232
